Entity,Code,Year,Coal per capita (kWh),Oil per capita (kWh),Gas per capita (kWh)
Africa,,1965,1006.3736,1061.6443,29.689943
Africa,,1966,980.1728,1120.8165,32.366585
Africa,,1967,976.7318,1088.6127,31.185446
Africa,,1968,990.00653,1121.6766,30.805683
Africa,,1969,973.52277,1114.7306,35.082924
Africa,,1970,987.1568,1186.9525,42.46903
Africa,,1971,1021.13116,1262.5507,49.06941
Africa,,1972,998.12964,1326.6609,64.09115
Africa,,1973,1034.6597,1390.9475,100.0773
Africa,,1974,1048.2109,1398.2831,109.63275
Africa,,1975,1080.2848,1428.3192,128.45761
Africa,,1976,1119.8885,1519.1366,141.95807
Africa,,1977,1113.191,1573.8364,154.48024
Africa,,1978,1051.3849,1611.0903,214.25261
Africa,,1979,1083.9161,1647.3884,318.05634
Africa,,1980,1128.7816,1697.1249,388.15622
Africa,,1981,1282.7428,1783.2175,460.9876
Africa,,1982,1373.3988,1812.2501,483.27896
Africa,,1983,1357.6967,1836.0695,516.38513
Africa,,1984,1412.2948,1817.443,481.13828
Africa,,1985,1416.6501,1812.4475,501.82892
Africa,,1986,1408.8351,1729.3776,548.0153
Africa,,1987,1408.5153,1771.9844,549.89856
Africa,,1988,1472.529,1796.9354,592.9491
Africa,,1989,1345.2413,1809.3762,598.02026
Africa,,1990,1375.3315,1790.158,624.68176
Africa,,1991,1303.3724,1753.639,613.1459
Africa,,1992,1278.1521,1742.0287,626.95386
Africa,,1993,1264.9296,1712.3896,598.78076
Africa,,1994,1266.0471,1729.518,611.23126
Africa,,1995,1273.5476,1748.8966,636.7846
Africa,,1996,1259.1172,1742.1002,651.8774
Africa,,1997,1259.8369,1750.1703,623.30536
Africa,,1998,1201.4733,1748.2933,640.2509
Africa,,1999,1208.8739,1770.1924,630.73444
Africa,,2000,1176.7845,1734.3945,679.9203
Africa,,2001,1162.5586,1706.6414,756.00146
Africa,,2002,1085.7644,1718.7385,779.21936
Africa,,2003,1152.6593,1728.1302,806.37726
Africa,,2004,1236.9413,1753.4738,865.4776
Africa,,2005,1119.8129,1783.5133,870.54956
Africa,,2006,1107.5466,1758.5851,886.2101
Africa,,2007,1097.4657,1776.5577,921.7665
Africa,,2008,1178.39,1821.242,933.31274
Africa,,2009,1143.7477,1834.2495,915.05554
Africa,,2010,1103.8693,1863.2979,929.39764
Africa,,2011,1059.6884,1786.4723,979.5423
Africa,,2012,1006.9224,1842.667,1032.3848
Africa,,2013,991.21173,1860.6183,1025.9297
Africa,,2014,1011.5414,1831.4404,1027.3611
Africa,,2015,931.67163,1830.93,1103.4474
Africa,,2016,962.8087,1794.4198,1112.3138
Africa,,2017,938.0473,1767.6163,1146.7631
Africa,,2018,898.34863,1742.8877,1191.6869
Africa,,2019,927.4049,1703.7234,1167.2278
Africa,,2020,850.974,1477.9789,1128.8291
Africa,,2021,838.60236,1566.7493,1179.481
Algeria,DZA,1965,65.75259,1244.2393,600.14075
Algeria,DZA,1966,62.698406,1607.2358,611.9881
Algeria,DZA,1967,46.891083,1468.7021,580.6141
Algeria,DZA,1968,48.49147,1528.8707,596.8662
Algeria,DZA,1969,60.343834,1579.2673,767.30194
Algeria,DZA,1970,69.96926,1764.847,705.34467
Algeria,DZA,1971,18.957115,1944.6864,783.08215
Algeria,DZA,1972,16.10831,2086.0066,888.5282
Algeria,DZA,1973,18.090183,2225.03,1207.8057
Algeria,DZA,1974,14.582012,2411.5613,1364.3291
Algeria,DZA,1975,17.75042,2583.876,1811.7994
Algeria,DZA,1976,33.12684,2831.289,2041.6028
Algeria,DZA,1977,41.404335,3081.9358,2095.2983
Algeria,DZA,1978,20.446732,3096.9795,3269.7163
Algeria,DZA,1979,46.09241,3595.458,4487.468
Algeria,DZA,1980,39.719566,3532.7976,5839.9077
Algeria,DZA,1981,27.044617,3685.6887,7351.2935
Algeria,DZA,1982,485.55008,3778.6523,8070.5225
Algeria,DZA,1983,418.92966,4104.6304,8544.341
Algeria,DZA,1984,449.032,4393.9453,7256.925
Algeria,DZA,1985,452.94815,4362.454,6949.2666
Algeria,DZA,1986,449.79886,4283.666,7360.9546
Algeria,DZA,1987,521.6861,4201.6494,7304.621
Algeria,DZA,1988,477.32697,4090.7686,8007.922
Algeria,DZA,1989,392.96988,4175.921,7339.7373
Algeria,DZA,1990,300.3428,4381.6636,7645.5117
Algeria,DZA,1991,302.61072,4233.1133,7373.2754
Algeria,DZA,1992,351.3135,4160.7373,7437.8086
Algeria,DZA,1993,279.7561,4048.898,6527.0747
Algeria,DZA,1994,258.1021,3796.072,6735.466
Algeria,DZA,1995,253.19875,3621.82,7100.958
Algeria,DZA,1996,117.16412,3395.663,7166.1226
Algeria,DZA,1997,202.01363,3312.638,6582.9766
Algeria,DZA,1998,212.97617,3363.7388,6706.2153
Algeria,DZA,1999,224.96509,3259.015,6758.9854
